指标,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
浙江省,0,90007.0,85619.6,80770.0,76765.3,67164.5,64632.0,59311.7,53135.2,48095.8,44222.0,40744.1,38023.3,34978.5,32353.1,27902.2,23227.5,21607.9,18914.7,15516.4
安徽省,0,50646.7,48227.5,45525.1,43102.8,38628.8,37584.8,34377.3,30141.8,26801.2,24142.7,22880.7,20888.2,18613.7,16532.7,13474.6,11063.3,9691.2,8078.0,6602.6
福建省,0,57476.6,54801.7,52099.6,49602.6,43682.0,42479.1,39204.8,34432.2,30199.2,27307.5,25329.4,22851.7,20510.8,18195.2,15236.6,12625.1,11104.2,9474.3,7586.2
江西省,0,34227.9,32677.1,31568.1,29838.2,25825.4,24724.0,23016.9,20497.6,18761.2,17031.1,15858.6,14473.4,12952.8,11717.4,9503.4,7733.0,7028.7,5847.3,4752.4
山东省,0,98406.9,94206.4,89519.4,84838.0,74355.9,72024.3,67864.4,63958.6,59702.6,56159.1,51552.7,48058.1,43584.3,39622.0,34429.4,29957.2,27460.2,22994.5,19184.0
河南省,0,63557.1,60627.7,58807.4,57806.9,54160.6,53739.3,50273.5,44586.5,40167.7,36798.2,34611.2,31621.4,28878.5,26212.2,22568.2,19077.1,17541.9,14773.2,11974.6
湖北省,0,59644.3,56794.3,53445.4,50093.3,43017.6,45557.0,42425.5,37624.2,33767.6,30661.6,28805.9,25851.7,22921.0,20228.3,16489.1,13422.6,11707.8,9601.8,7636.7
湖南省,0,53084.7,50667.5,47957.9,45751.9,41693.7,39930.7,36629.3,34127.7,31225.0,28811.7,26309.1,23916.3,21513.7,19176.4,15814.9,12965.9,11466.6,9409.9,7529.2
广东省,0,141488.9,137905.4,132547.1,127577.4,113708.9,110468.1,101875.9,93004.8,83493.4,75820.8,69593.4,63757.3,58057.6,54009.6,46821.3,40215.7,37351.5,32308.5,26403.1
广西壮族自治区,0,28694.1,27501.7,26419.7,25311.5,22250.7,21341.5,19951.7,18071.7,16417.2,15030.2,13856.7,12680.6,11496.6,10472.7,8712.0,7243.4,6561.9,5556.4,4479.8
