指标,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
接待国际游客(百万人次),0.76,0.71,0.67,0.63,0.59,0.57,0.54,1.89,1.55,1.3,1.07,0.94,0.74,0.57
接待外国人游客(百万人次),0.5,0.47,0.43,0.4,0.38,0.36,0.39,1.2,0.98,0.82,0.67,0.58,0.45,0.33
